Grocery Store,Location,Foodstamps,Meal Title,Price Low,Price High,Fat (g),Carb (g),Protein (g),Sugar (g),Sodium (mg),Calories,Servings,Time (mins),Link,Fast Food,Mexican,Thai,Indian,Chinese,Japanese,Caribbean,Mediterranean,Vegetarian,Vegan,Greek,Sandwiches,American,Meat,Seafood
Walmart,"51 Silver Spring St, Providence, RI 02904",TRUE,Turkey Lettuce Wrap,$1.60,$5.60,17.4,11.5,26.9,5.3,399,301,4,15,https://recipecenter.stopandshop.com/recipes/111564/turkey-lettuce-wraps,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Walmart,"51 Silver Spring St, Providence, RI 02904",TRUE,Baked Spinach Macaroni,$3.40,$5.40,23,55,34.3,8,713,563,4,36,https://recipecenter.stopandshop.com/recipes/93825/baked-spinach-macaroni,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Walmart,"51 Silver Spring St, Providence, RI 02904",TRUE,Mini Shepherd's Pie,$1.81,$4.00,20.8,25.3,17.4,3.7,462,360,6,30,https://recipecenter.stopandshop.com/recipes/111586/mini-shepherd-s-pies,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Walmart,"51 Silver Spring St, Providence, RI 02904",TRUE,Chicken Enchiladas,$1.50,$3.00,10,20,16.8,6.6,1053,237,6,15,https://recipecenter.stopandshop.com/recipes/116549/chicken-enchiladas,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Stop & Shop,"333 W River St, Providence, RI 02904",TRUE,Panko Breaded Baked Haddock,$2.62,$8.94,7.9,26.3,24.5,1.6,871,278,3,25,https://recipecenter.stopandshop.com/recipes/30302/panko-breaded-baked-haddock,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Stop & Shop,"333 W River St, Providence, RI 02904",TRUE,Garlic Parmesan Steak Strips,$2.66,$3.70,31.5,21,22.3,17,683,446,6,20,https://recipecenter.stopandshop.com/recipes/111593/garlic-parmesan-bbq-steak-strips,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Stop & Shop,"333 W River St, Providence, RI 02904",TRUE,Sweet and Sour Pork Tenderloin with Pineapple,$2.10,$4.23,8.4,66.3,32,5.5,436,473,6,15,https://recipecenter.stopandshop.com/recipes/111562/sweet-and-sour-pork-tenderloin-with-pineapple,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Stop & Shop,"333 W River St, Providence, RI 02904",TRUE,Arroz con Pollo (Chicken with Rice),$2.00,$5.20,3.8,30,30,2,133,278,6,70,https://recipecenter.stopandshop.com/recipes/30560/arroz-con-pollo-chicken-with-rice,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
